TL_BASED_ISE,USD_BASED_ISE,SP,DAX,FTSE,NIKKEI,BOVESPA,EU,EM,MACD Line,Signal Line,Buy/Hold/Sell
0.035753708,0.038376187,-0.004679315,0.002193419,0.003894376,0.0,0.031190229,0.012698039,0.028524462,0.0,0.0,0
0.025425873,0.031812743,0.007786738,0.008455341,0.012865611,0.004162452,0.01891958,0.011340652,0.008772644,-0.00023171424679487018,-0.0001287301371082612,1
-0.02886173,-0.026352966,-0.030469134,-0.017833062,-0.028734593,0.017292932,-0.035898576,-0.017072795,-0.020015412,-0.0019787052632805864,-0.0008869166642280664,1
-0.062208079,-0.084715902,0.003391364,-0.011726277,-0.000465999,-0.040061309,0.028283152,-0.005560959,-0.019423778,-0.003928735212316131,-0.0019173430016562723,1
0.009859905,0.009658112,-0.021533208,-0.019872754,-0.012709717,-0.004473502,-0.00976388,-0.010988634,-0.007802212,-0.002037891610891812,-0.001953203487506921,1
-0.029191028,-0.042361155,-0.022822626,-0.013525735,-0.005025533,-0.049038532,-0.053849474,-0.012451259,-0.022629745,-0.0025327733504558712,-0.0021102991438271108,1
0.015445348,-0.000272183,0.001756552,-0.017673622,-0.006141454,0.0,0.00357202,-0.012220196,-0.004827138,-0.0007844166409255423,-0.0017747536536692416,2
-0.041167612,-0.03555248,-0.034032484,-0.047383437,-0.050945198,0.002912354,-0.040301613,-0.045220199,-0.008676646,-0.0022919789567839664,-0.0018990526204316909,1
0.000661905,-0.017267844,0.001328305,-0.019550621,-0.014334659,-0.050447588,0.030313602,-0.012070424,-0.023428729,-0.0012257494757263784,-0.0017435162537306384,2
0.022037345,0.032278032,0.007533126,0.00679078,0.006289177,0.025453186,0.004866686,0.008560858,0.010916893,0.000649473268001321,-0.0012073476880115823,2
-0.022692465,-0.044348781,-0.054261984,-0.011549904,-0.009351296,0.003238918,-0.013151015,-0.012045182,-0.004029004,-0.00038757553936038126,-0.0010279862260123534,2
-0.013708704,-0.029661366,0.0,-0.017833593,-0.004170789,-0.023411498,-0.040899261,-0.015088013,-0.024107193,-0.0006491282518995851,-0.0009466234218628738,2
0.000864697,0.00152943,0.042572033,0.005011186,-0.007728867,-0.020561328,0.033532127,-0.003338563,-0.005092242,-1.1267124036586258e-05,-0.0007486695321208756,2
-0.00381506,0.005043164,-0.015278458,-0.009841399,-0.001898399,0.018817884,-0.016981713,-0.00655222,-0.003227249,0.00019510596749125128,-0.0005512309934362565,2
